title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
orinoco flow,Enya,spotify:track:14EUcXXpqrC03Dzzdj8bGr,0.685,0.307,0,-17.283,1,0.0305,0.797,0.28,0.0988,0.559,114.981,audio_features,14EUcXXpqrC03Dzzdj8bGr,https://api.spotify.com/v1/tracks/14EUcXXpqrC03Dzzdj8bGr,https://api.spotify.com/v1/audio-analysis/14EUcXXpqrC03Dzzdj8bGr,266194,4
madness,Muse,spotify:track:0c4IEciLCDdXEhhKxj4ThA,0.502,0.417,10,-7.665,1,0.0718,0.127,0.00419,0.106,0.218,180.301,audio_features,0c4IEciLCDdXEhhKxj4ThA,https://api.spotify.com/v1/tracks/0c4IEciLCDdXEhhKxj4ThA,https://api.spotify.com/v1/audio-analysis/0c4IEciLCDdXEhhKxj4ThA,281040,4
daar gaat ze,Clouseau,spotify:track:1pQcaYky2rRxSeUdZld9xk,0.634,0.333,5,-14.952,1,0.0334,0.827,0.0,0.133,0.637,87.025,audio_features,1pQcaYky2rRxSeUdZld9xk,https://api.spotify.com/v1/tracks/1pQcaYky2rRxSeUdZld9xk,https://api.spotify.com/v1/audio-analysis/1pQcaYky2rRxSeUdZld9xk,229467,4
tears dry on their own,Amy Winehouse,spotify:track:6yLX8QnxlnEqZfs3YKCfjF,0.643,0.871,1,-2.734,0,0.118,0.491,0.0,0.29,0.452,121.569,audio_features,6yLX8QnxlnEqZfs3YKCfjF,https://api.spotify.com/v1/tracks/6yLX8QnxlnEqZfs3YKCfjF,https://api.spotify.com/v1/audio-analysis/6yLX8QnxlnEqZfs3YKCfjF,185187,4
you're so vain,Carly Simon,spotify:track:2DnJjbjNTV9Nd5NOa1KGba,0.659,0.678,0,-8.18,1,0.0313,0.157,6.69e-06,0.0784,0.647,106.186,audio_features,2DnJjbjNTV9Nd5NOa1KGba,https://api.spotify.com/v1/tracks/2DnJjbjNTV9Nd5NOa1KGba,https://api.spotify.com/v1/audio-analysis/2DnJjbjNTV9Nd5NOa1KGba,258411,4
bad romance,Lady Gaga,spotify:track:0SiywuOBRcynK0uKGWdCnn,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,audio_features,0SiywuOBRcynK0uKGWdCnn,https://api.spotify.com/v1/tracks/0SiywuOBRcynK0uKGWdCnn,https://api.spotify.com/v1/audio-analysis/0SiywuOBRcynK0uKGWdCnn,294573,4
fake plastic trees,Radiohead,spotify:track:73CKjW3vsUXRpy3NnX4H7F,0.463,0.229,2,-12.592,1,0.0297,0.167,0.0997,0.202,0.135,73.543,audio_features,73CKjW3vsUXRpy3NnX4H7F,https://api.spotify.com/v1/tracks/73CKjW3vsUXRpy3NnX4H7F,https://api.spotify.com/v1/audio-analysis/73CKjW3vsUXRpy3NnX4H7F,290707,4
i don't live here anymore (feat. lucius),The War On Drugs,spotify:track:5Uou8idst1XJc0F6MRAk5S,0.476,0.867,5,-3.982,1,0.037,0.00327,3.42e-06,0.0962,0.466,110.026,audio_features,5Uou8idst1XJc0F6MRAk5S,https://api.spotify.com/v1/tracks/5Uou8idst1XJc0F6MRAk5S,https://api.spotify.com/v1/audio-analysis/5Uou8idst1XJc0F6MRAk5S,327547,4
21 guns,Green Day,spotify:track:64yrDBpcdwEdNY9loyEGbX,0.268,0.742,5,-4.939,1,0.0355,0.0518,0.0,0.626,0.416,159.779,audio_features,64yrDBpcdwEdNY9loyEGbX,https://api.spotify.com/v1/tracks/64yrDBpcdwEdNY9loyEGbX,https://api.spotify.com/v1/audio-analysis/64yrDBpcdwEdNY9loyEGbX,321093,4
running to stand still,U2,spotify:track:4MLPCRYNhDIKcRjzS54ceu,0.537,0.199,2,-18.726,1,0.0287,0.861,0.0259,0.334,0.229,94.634,audio_features,4MLPCRYNhDIKcRjzS54ceu,https://api.spotify.com/v1/tracks/4MLPCRYNhDIKcRjzS54ceu,https://api.spotify.com/v1/audio-analysis/4MLPCRYNhDIKcRjzS54ceu,257366,4
you oughta know,Alanis Morissette,spotify:track:17ZAZ24Eyh5fKqQ06u4R3d,0.641,0.861,4,-6.9,1,0.0697,0.228,0.0,0.868,0.473,105.316,audio_features,17ZAZ24Eyh5fKqQ06u4R3d,https://api.spotify.com/v1/tracks/17ZAZ24Eyh5fKqQ06u4R3d,https://api.spotify.com/v1/audio-analysis/17ZAZ24Eyh5fKqQ06u4R3d,249760,4
woman in love,Barbra Streisand,spotify:track:1pTGc8pwyo6xtgXBKCBcFn,0.469,0.278,3,-16.311,0,0.028,0.248,0.000126,0.133,0.331,169.735,audio_features,1pTGc8pwyo6xtgXBKCBcFn,https://api.spotify.com/v1/tracks/1pTGc8pwyo6xtgXBKCBcFn,https://api.spotify.com/v1/audio-analysis/1pTGc8pwyo6xtgXBKCBcFn,231840,4
i would die 4 u,Prince,spotify:track:6fBwVe6udYdnRqwqo06if8,0.731,0.75,2,-10.457,1,0.0321,0.0862,0.000388,0.202,0.639,135.406,audio_features,6fBwVe6udYdnRqwqo06if8,https://api.spotify.com/v1/tracks/6fBwVe6udYdnRqwqo06if8,https://api.spotify.com/v1/audio-analysis/6fBwVe6udYdnRqwqo06if8,178987,4
roadhouse blues,The Doors,spotify:track:1Q5kgpp4pmyGqPwNBzkSrw,0.623,0.633,9,-8.212,1,0.0304,0.336,4.6e-05,0.147,0.895,121.119,audio_features,1Q5kgpp4pmyGqPwNBzkSrw,https://api.spotify.com/v1/tracks/1Q5kgpp4pmyGqPwNBzkSrw,https://api.spotify.com/v1/audio-analysis/1Q5kgpp4pmyGqPwNBzkSrw,243827,4
